#cat		MR_l		MR_h		Rsq_l		Rsq_h		SMH			SMH_Err		        Signal		        Bkg_f
highpt		150		312.5		0		0.027		0.568448		0.0104176		0.0582551		singleExp
highpt		150		312.5		0.027		0.052		0.618232		0.0108402		0.128833		singleExp
highpt		150		312.5		0.052		0.077		0.291992		0.00731983		0.154227		singleExp
highpt		150		312.5		0.077		0.102		0.132789		0.00499634		0.133315		singleExp
highpt		150		312.5		0.102		0.127		0.0517698		0.00297576		0.101946		singleExp
highpt		150		312.5		0.127		5		0.102544		0.00296701		0.315548		singleExp
highpt		312.5		625		0		0.022		1.92727			0.0184962		0.414134		singleExp
highpt		312.5		625		0.022		0.047		1.08193			0.0138794		0.878308		singleExp
highpt		312.5		625		0.047		0.072		0.242935		0.00631498		0.82416			singleExp
highpt		312.5		625		0.072		5		0.142029		0.00320998		1.52098			singleExp
highpt		625		1250		0		0.021		1.41857			0.0149463		0.533632		singleExp
highpt		625		1250		0.021		5		0.243467		0.00560822		1.57961			singleExp
highpt		1250		10000		0		5		0.349519		0.00659552		0.403304		singleExp
