#cat		MR_l		MR_h		Rsq_l		Rsq_h		SMH			SMH_Err		        Signal		        Bkg_f
highres		150		237.5		0		0.028		1.60585			0.0186838		0.129207		singleExp
highres		150		237.5		0.028		0.053		1.30905			0.0165415		0.213229		singleExp
highres		150		237.5		0.053		0.078		0.688422		0.0117342		0.220697		singleExp
highres		150		237.5		0.078		0.103		0.329055		0.00806568		0.234514		singleExp
highres		150		237.5		0.103		0.128		0.135456		0.00497617		0.216216		singleExp
highres		150		237.5		0.128		0.153		0.0630843		0.00334572		0.185221		singleExp
highres		150		237.5		0.153		0.178		0.0286098		0.00210678		0.1546			singleExp
highres		150		237.5		0.178		5		0.0477172		0.00199801		0.535499		singleExp
highres		237.5		475		0		0.035		2.67507			0.0229736		0.69346			singleExp
highres		237.5		475		0.035		0.06		0.310768		0.00730988		0.557905		singleExp
highres		237.5		475		0.06		0.085		0.0760406		0.00326547		0.458572		singleExp
highres		237.5		475		0.085		5		0.0588403		0.00174191		1.13747			singleExp
highres		475		950		0		0.018		0.668706		0.00983379		0.369696		singleExp
highres		475		950		0.018		5		0.0558386		0.001831		0.762171		singleExp
highres		950		10000		0		5		0.0995881		0.00262044		0.290902		singleExp
