#cat		MR_l		MR_h		Rsq_l		Rsq_h		SMH			SMH_Err		        Signal		        Bkg_f
lowres		150		200		0		0.049		0.544779		0.0108289		0.0504131		singleExp
lowres		150		200		0.049		0.074		0.19109			0.00627191		0.0466788		singleExp
lowres		150		200		0.074		0.099		0.10179			0.00454192		0.0485459		singleExp
lowres		150		200		0.099		0.124		0.0461278		0.00293674		0.0455585		singleExp
lowres		150		200		0.124		0.149		0.023505		0.00202824		0.0339821		singleExp
lowres		150		200		0.149		5		0.026747		0.00187014		0.154227		singleExp
lowres		200		400		0		0.023		0.838375		0.0131926		0.102693		singleExp
lowres		200		400		0.023		0.048		0.392567		0.00880404		0.205387		singleExp
lowres		200		400		0.048		0.073		0.1141			0.00448784		0.195304		singleExp
lowres		200		400		0.073		0.098		0.0452916		0.00276092		0.146385		singleExp
lowres		200		400		0.098		5		0.0326681		0.00171686		0.446996		singleExp
lowres		400		800		0		0.02		0.397745		0.00814997		0.158334		singleExp
lowres		400		800		0.02		5		0.0390059		0.00188312		0.38538			singleExp
lowres		800		10000		0		5		0.0661496		0.00240501		0.158708		singleExp
